"fecha","conteo_ordenes"
"2012-10-01",254.606725923952
"2012-10-02",244.214460589873
"2012-10-03",263.493782955862
"2012-10-04",258.338881168966
"2012-10-05",266.653965816372
"2012-10-06",168.469323788457
"2012-10-07",228.767479854056
"2012-10-08",223.322905935935
"2012-10-09",208.231260053123
"2012-10-10",269.126373020512
"2012-10-11",289.37046635433
"2012-10-12",263.198544481666
"2012-10-13",216.735951778246
"2012-10-14",186.233625369473
"2012-10-15",233.927512439992
"2012-10-16",238.018602523801
"2012-10-17",225.968615004375
"2012-10-18",234.772254074354
"2012-10-19",260.463821668693
"2012-10-20",180.141340319525
"2012-10-21",228.060713343344
"2012-10-22",267.603873073917
"2012-10-23",272.496813559095
"2012-10-24",241.155560026426
"2012-10-25",249.907401213005
"2012-10-26",274.861771167205
"2012-10-27",169.411242627624
"2012-10-28",214.764899252972
"2012-10-29",259.9735970577
"2012-10-30",265.306681244746
"2012-10-31",275.62933397245
"2013-02-01",317.252559464905
"2013-02-02",259.242997923664
"2013-02-03",285.85753892314
"2013-02-04",271.061798076355
"2013-02-05",301.214529714171
"2013-02-06",326.570235582853
"2013-02-07",306.498592077601
"2013-02-08",330.89249099957
"2013-02-09",356.216818863024
"2013-02-10",341.583054192781
"2013-02-11",377.358085640195
"2013-02-12",370.089938019708
"2013-02-13",427.847185674663
"2013-02-14",440.864220829944
"2013-02-15",462.677215833169
